text,lang
"Bonjour tout le monde",fr
"Je suis très heureux aujourd'hui",fr
"Ceci est une phrase en français",fr
"Quel temps fait-il ce matin?",fr
"J'aime programmer en Python",fr
"Le chat dort sur le canapé",fr
"Je vais au marché",fr
"Il est temps de déjeuner",fr
"Ce film est incroyable",fr
"Elle aime lire des romans",fr
"Nous allons à l'école",fr
"Il pleut dehors",fr
"J'apprends l'informatique",fr
"Mon ordinateur est lent",fr
"Cette chanson est belle",fr
"Les vacances commencent demain",fr
"Je bois du café tous les matins",fr
"Ma voiture est rouge",fr
"Le ciel est bleu aujourd'hui",fr
"Je dois finir ce projet",fr

"Hello everyone",en
"How are you doing today",en
"This is an English sentence",en
"Python is my favorite language",en
"Let's go to the park!",en
"I have 2 cats ",en
"The weather is nice today",en
"I love reading books",en
"This movie is amazing",en
"I am learning data science",en
"My laptop is slow",en
"School starts tomorrow",en
"I need to finish this project",en
"Breakfast is ready",en
"She likes painting",en
"We are going to the cinema",en
"The sky is blue",en
"He is very tired today",en
"Do you want some coffee?",en
"Programming is fun",en

"Hola, cómo estás",es
"Esto es una frase en español",es
"Me encanta aprender español",es
"El clima es agradable hoy",es
"Tengo dos gatos",es
"Vamos al parque",es
"Me gusta leer libros",es
"Esta película es increíble",es
"Estoy aprendiendo programación",es
"Mi ordenador es lento",es
"Necesito terminar este proyecto",es
"El desayuno está listo",es
"Nos vamos al cine",es
"El cielo está azul",es
"Él está muy cansado hoy",es
"Quieres un café?",es
"La música es hermosa",es
"Me gusta correr por la mañana",es
"Las vacaciones comienzan mañana",es
"Estoy estudiando informática",es

"مرحبا بك في عالم البرمجة",ar
"أنا أحب تعلم اللغات",ar
"هذا مثال لنص عربي",ar
"الطقس جميل اليوم",ar
"لدي قطتان",ar
"لنذهب إلى الحديقة",ar
"أنا أحب قراءة الكتب",ar
"هذا الفيلم رائع",ar
"أنا أتعلم البرمجة",ar
"جهازي بطيء",ar
"أحتاج لإنهاء هذا المشروع",ar
"الإفطار جاهز",ar
"نذهب إلى السينما",ar
"السماء زرقاء",ar
"هو متعب جدًا اليوم",ar
"هل تريد بعض القهوة؟",ar
"الموسيقى جميلة",ar
"أحب الركض صباحًا",ar
"العطلة تبدأ غدًا",ar
"أنا أدرس علوم الكمبيوتر",ar
